PARK,BOROUGH,SIZE (ACRES),CATEGORY,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL,quarter,year
DUTCH KILLS PLAYGROUND,QUEENS       ,2.4,ONE ACRE OR LARGER,0.0,0,0,1,0,0,0,1,1,2023
KOSCIUSZKO POOL,BROOKLYN     ,2.391,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
WEST PLAYGROUND,BROOKLYN     ,2.387,ONE ACRE OR LARGER,0.0,0,1,0,0,0,0,1,1,2023
HOMECREST PLAYGROUND,BROOKLYN     ,2.372,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
DE MATTI PLAYGROUND,STATEN ISLAND,2.335,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
POE PARK,BRONX        ,2.331,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
OVERLOOK PARK,QUEENS       ,2.327,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
BARUCH PLAYGROUND,MANHATTAN    ,2.32,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
OSBORN PLAYGROUND,BROOKLYN     ,2.3,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
TRIBORO PLAZA,MANHATTAN    ,2.3,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
FLOYD PATTERSON BALLFIELDS,BROOKLYN     ,2.3,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
RAILROAD PLAYGROUND,BROOKLYN     ,2.3,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
POWER PLAYGROUND,BROOKLYN     ,2.295,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
MONSIGNOR CRAWFORD FIELD,BROOKLYN     ,2.291,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
MARTIN LUTHER KING JR. PLAYGROUND,BROOKLYN     ,2.29,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
P.O. REINALDO SALGADO PLAYGROUND,BROOKLYN     ,2.289,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
CARLTON PARK AT CARLTON AVENUE & FOSTER ROAD,STATEN ISLAND,2.288,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
CENTURY PLAYGROUND,BROOKLYN     ,2.282,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
SOUTH PACIFIC PLAYGROUND,BROOKLYN     ,2.264,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
